CustomerID,num_uniq_orders,orderFrequency,daysSinceLastOrder,num_uniq_products,reorder_ratio,TotalRevenue
1,2,13,298,5,16.67,102.85
2,3,40,38,5,16.67,197.55
3,1,NULL,198,1,0,21.49
4,2,74,215,4,0,3480.47
5,3,128,160,4,0,5391.32
6,1,NULL,112,1,0,2294.99
7,2,342,203,2,0,2983.34
8,4,1,122,59,64.02,197378.18
9,1,NULL,311,1,0,4.99
10,9,10,152,35,61.96,236580.10
11,1,0,88,5,0,1789.45
12,8,1,152,105,74.88,690925.16
13,1,0,152,2,0,1750.98
14,1,0,254,2,0,39.98
15,2,112,210,4,0,3068.32
16,1,0,213,3,0,23.97
17,2,3,179,6,0,136.25
18,2,120,341,6,0,6098.54
19,1,NULL,177,1,0,29.99
20,1,NULL,226,1,0,4.99
21,1,0,323,2,0,59.98
22,2,113,106,2,0,59.98
23,2,375,86,3,0,6018.26
24,2,39,110,6,14.29,128.91
25,2,39,399,5,0,1426.46
26,1,0,338,4,0,712.27
27,1,0,262,4,0,44.91
29,1,NULL,97,1,0,4.99
30,2,11,164,4,0,129.47
32,1,0,191,2,0,38.98
34,1,0,248,2,0,39.98
35,2,215,295,3,0,4760.32
36,1,NULL,331,1,0,7.95
37,1,0,130,5,0,2563.91
38,1,0,310,2,0,78.98
39,1,0,321,4,0,74.46
40,1,NULL,340,1,0,21.98
41,1,0,131,2,0,1725.98
42,4,27,152,8,20,140.17
43,1,0,331,2,0,12.98
44,1,0,294,3,0,69.97
45,1,0,94,3,0,71.58
46,1,0,236,2,0,7.28
47,1,0,419,5,0,565.21
48,1,0,71,2,0,2438.06
49,3,26,125,8,27.27,214.35
50,1,0,46,3,0,67.97
51,1,NULL,146,1,0,24.99
52,1,NULL,464,1,0,1120.49
53,1,NULL,118,1,0,539.99
54,2,15,252,5,16.67,134.44
55,4,2,91,46,65.67,391179.62
56,1,NULL,137,1,0,4.99
57,1,0,220,4,0,94.46
58,1,0,174,3,0,32.27
59,1,NULL,396,1,0,333.42
60,4,72,197,9,0,9652.32
61,1,0,77,2,0,39.98
62,2,16,37,5,16.67,130.94
63,1,NULL,237,1,0,21.98
64,2,103,84,3,0,61.96
65,1,0,291,2,0,39.98
67,1,0,277,2,0,2419.06
68,2,76,234,5,0,3011.11
69,2,121,318,5,0,5954.22
70,1,0,174,3,0,48.97
71,1,NULL,291,1,0,21.49
72,1,0,352,2,0,7.28
73,1,0,250,2,0,27.28
74,1,NULL,35,1,0,4.99
75,1,0,312,4,0,89.46
76,4,9,883,10,67.74,58625.20
78,1,NULL,187,1,0,4.99
79,2,145,339,4,0,2013.96
80,2,196,58,2,0,24.27
81,1,NULL,621,1,0,2294.99
83,1,0,275,2,0,75.48
84,1,0,124,2,0,1709.98
85,1,0,65,4,0,1764.96
86,1,0,339,2,0,1170.48
87,2,127,369,5,0,5948.24
88,1,0,102,2,0,31.28
89,2,59,233,5,0,3505.45
90,1,NULL,383,1,0,539.99
91,3,49,117,6,0,225.44
92,1,0,170,3,0,61.96
93,1,0,309,3,0,81.46
94,1,0,147,4,0,54.96
95,1,0,147,2,0,7.28
96,3,17,73,7,12.5,125.51
97,1,0,90,3,0,45.58
98,1,NULL,968,1,0,3578.27
99,1,NULL,337,1,0,32.60
100,1,NULL,117,1,0,21.49
101,3,65,169,9,10,7151.98
102,1,0,238,4,0,100.46
103,3,171,109,7,0,6565.29
104,1,0,384,4,0,2369.96
105,1,0,205,2,0,574.98
106,4,68,122,5,0,3155.84
107,1,0,43,4,0,118.96
108,1,0,69,2,0,548.98
109,1,NULL,61,1,0,4.99
110,2,58,184,4,0,82.26
111,2,145,114,2,0,91.97
112,1,0,80,4,0,45.22
113,2,300,140,3,0,3262.83
114,1,0,347,3,0,1137.43
115,1,0,337,2,0,6.28
116,1,NULL,153,1,0,29.99
117,1,0,243,4,0,100.46
118,1,0,332,2,0,38.98
120,2,158,114,3,0,3112.97
121,1,0,87,2,0,123.99
122,1,0,50,3,0,156.59
123,1,0,332,2,0,13.98
124,1,0,315,3,0,1198.97
125,1,0,91,2,0,13.98
126,4,13,91,18,14.29,15203.42
127,2,114,114,6,0,3161.94
128,1,0,67,3,0,38.88
129,1,0,287,5,0,828.74
130,1,NULL,359,1,0,28.99
131,2,504,383,2,0,5898.26
132,1,0,60,3,0,64.97
133,1,0,367,3,0,47.97
134,1,NULL,209,1,0,4.99
135,1,0,149,2,0,36.59
136,3,72,180,6,0,3964.80
137,2,63,205,5,0,4931.24
138,1,0,306,4,0,2452.04
139,1,0,270,2,0,82.59
140,1,NULL,403,1,0,2443.35
141,4,18,222,7,12.5,149.84
142,1,0,114,2,0,1155.48
143,2,210,214,3,0,3072.33
144,1,0,194,4,0,588.96
145,1,0,277,2,0,39.98
146,1,0,194,2,0,29.48
147,1,0,301,3,0,74.98
148,2,130,270,3,0,4055.97
149,3,96,241,6,0,7194.69
150,1,NULL,397,1,0,1120.49
151,2,244,343,3,0,5933.25
152,2,46,153,6,0,114.55
153,1,0,347,2,0,7.28
154,1,0,318,3,0,38.88
155,1,0,267,3,0,74.98
156,2,251,202,4,0,1672.46
157,2,300,143,4,0,5910.55
158,1,0,83,2,0,13.98
159,3,73,97,8,0,7088.49
160,1,NULL,142,1,0,539.99
161,12,19,122,35,33.96,90758.42
162,1,NULL,122,1,0,9.99
163,1,0,183,2,0,39.98
164,1,0,67,3,0,2359.98
165,1,0,297,4,0,2433.04
166,1,0,293,2,0,38.98
